id,ppoint_dh,lon_bd,lat_bd,ppoint_type,insert_time,onlyId
6c019101b1214a48b7849863dab619a1,KSTC037YS110,16676.74700000044,79969.88399999961,4100,2021-10-26 11:36:29,KSBC_DATA_WaterMap_16676.747|410079969.884KSTC037YS110
300cc632832746c4ba68711f180f4816,KSTC051YS081,19818.679999999706,77668.22800000012,4100,2021-10-26 11:36:29,KSBC_DATA_WaterMap_19818.68|410077668.228KSTC051YS081
080c2c5a2cef49bbbd69ce3429558c73,KSTC064YS008,19567.68599999976,78983.8440000005,4100,2021-10-26 11:36:29,KSBC_DATA_WaterMap_19567.686|410078983.844KSTC064YS008
ef11dc1e32ad49769bf04657d7472e3b,KSTC064YS052,19519.753999999724,78861.24200000055,4100,2021-10-26 11:36:29,KSBC_DATA_WaterMap_19519.754|410078861.242KSTC064YS052
6c424f9034474c1cbc363d4bc5c8b26b,KSTC064WS027,19468.047000000253,78879.0,4100,2021-10-26 11:36:29,KSBC_DATA_WaterMap_19468.047|410078879.0KSTC064WS027
abcbf855605a41e0bc8b26e4695d3d79,KSTC064WS042,19462.52099999972,78863.45099999942,4100,2021-10-26 11:36:29,KSBC_DATA_WaterMap_19462.521|410078863.451KSTC064WS042
81e24105fead459caeee32e379755464,KSTC064YS031001,19467.477400000207,78903.99789999984,4100,2021-10-26 11:36:29,KSBC_DATA_WaterMap_19467.4774|410078903.9979KSTC064YS031001
391ed9a63c3441b3805980b7d5296d26,KSTC065YS001,20448.175999999978,77523.84699999914,4100,2021-10-26 11:36:29,KSBC_DATA_WaterMap_20448.176|410077523.847KSTC065YS001
9a4a45c8d2234321a454aafa1ee3000f,KSTC066WS043,15733.543999999762,78568.38000000082,4100,2021-10-26 11:36:29,KSBC_DATA_WaterMap_15733.544|410078568.38KSTC066WS043
10edb1c0608d456d9e7d48076d050674,KSTC066YS011,15730.912399999796,78568.3311999999,4100,2021-10-26 11:36:30,KSBC_DATA_WaterMap_15730.9124|410078568.3312KSTC066YS011
4b9f4094467f44dc8b0ba88f1ebfc0f2,KSTC037WS013,16653.18499999959,80067.88399999961,4100,2021-10-26 11:36:30,KSBC_DATA_WaterMap_16653.185|410080067.884KSTC037WS013
3784b27a27ab4fd5b5173b919214a1a6,KSTC037YS073,16653.27699999977,80065.91200000048,4100,2021-10-26 11:36:30,KSBC_DATA_WaterMap_16653.277|410080065.912KSTC037YS073
